domain,checks,ok,timeouts,conn_errors,mean_latency,problem_ratio
agendakulturarv.raa.se,1,0,0,1,,1.0
app.raa.se,9332,9198,132,0,0.09599583402173913,0.01
bebyggelseregistret.raa.se,3256,3256,0,0,0.18802709735872236,0.0
dms.raa.se,1,0,0,1,,1.0
fmis.raa.se,4,2,0,0,0.051975,0.0
fou-anslag.raa.se,1,0,0,1,,1.0
hildebrand.raa.se,24,0,0,24,,1.0
kmb.raa.se,118,70,0,0,0.09231044915254237,0.0
kms.raa.se,3,0,0,3,,1.0
kringla.nu,71,69,0,0,0.2790691830985915,0.0
kulturnav.org,89490,81085,18,12,0.44165004797674945,0.0
materialguiden.raa.se,4,0,0,4,,1.0
old.raa.se,7,0,0,7,,1.0
pub.raa.se,156,155,0,0,0.37308719230769233,0.0
raa.se,14,9,0,0,0.1365915,0.0
ritreg.raa.se,1,0,0,1,,1.0
samla.raa.se,638,119,0,0,0.16978456269592476,0.0
vitalis.raa.se,4,4,0,0,0.17147574999999998,0.0
www.bebyggelseregistret.raa.se,3679,3677,2,0,0.1501857731846614,0.0
www.dialog.raa.se,1,0,0,1,,1.0
www.fmis.raa.se,2164,1419,0,0,0.07148415341959335,0.0
www.kms.raa.se,108,0,0,108,,1.0
www.kringla.nu,828,799,0,0,0.3030383381642512,0.0
www.kulturnav.org,1,0,0,1,,1.0
www.raa.se,3105,2507,1,0,0.1221229793814433,0.0
www.raa.se:80,1,0,0,0,0.228075,0.0
